INPUT:question_id	INPUT:question
679915	"How do I test for an empty JavaScript object?

After an AJAX request, sometimes my application may return an empty object, like:

var a = {};


How can I check whether that's the case?
"
46898	"How do I efficiently iterate over each entry in a Java Map?

If I have an object implementing the Map interface in Java and I wish to iterate over every pair contained within it,  what is the most efficient way of going through the map?

Will the ordering of elements depend on the specific map implementation that I have for the interface?
"
1098040	"Checking if a key exists in a JavaScript object?

How do I check if a particular key exists in a JavaScript object or array?

If a key doesn't exist, and I try to access it, will it return false? Or throw an error?
"
638975	"How do I tell if a file does not exist in Bash?

This checks if a file exists:
#!/bin/bash

FILE=$1     
if [ -f $FILE ]; then
   echo ""File $FILE exists.""
else
   echo ""File $FILE does not exist.""
fi

How do I only check if the file does not exist?
"
8710619	"Why don't Java's +=, -=, *=, /= compound assignment operators require casting?

Until today, I thought that for example:

i += j;


Was just a shortcut for:

i = i + j;


But if we try this:

int i = 5;
long j = 8;


Then i = i + j; will not compile but i += j; will compile fine.

Does it mean that in fact i += j; is a shortcut for something like this
i = (type of i) (i + j)?
"
423379	"Using global variables in a function

How do I create or use a global variable inside a function?
How do I use a global variable that was defined in one function inside other functions?

Failing to use the global keyword where appropriate often causes UnboundLocalError. The precise rules for this are explained at UnboundLocalError on local variable when reassigned after first use. Generally, please close other questions as a duplicate of that question when an explanation is sought, and this question when someone simply needs to know the global keyword.
"
1911109	"How do I clone a specific Git branch?

Git clone will clone remote branch into local.
Is there any way to clone a specific branch by myself without switching branches on the remote repository?
"
8881291	"Why is char[] preferred over String for passwords?

In Swing, the password field has a getPassword() (returns char[]) method instead of the usual getText() (returns String) method. Similarly, I have come across a suggestion not to use String to handle passwords.

Why does String pose a threat to security when it comes to passwords?
It feels inconvenient to use char[].
"
154059	"How do I check for an empty/undefined/null string in JavaScript?

Is there a string.Empty in JavaScript, or is it just a case of checking for """"?
"
29482	"How do I cast int to enum in C#?

How do I cast an int to an enum in C#?
"
588004	"Is floating point math broken?

Consider the following code:


0.1 + 0.2 == 0.3  ->  false


0.1 + 0.2         ->  0.30000000000000004


Why do these inaccuracies happen?
"
1394797	"Move existing, uncommitted work to a new branch in Git

I started some work on a new feature and after coding for a bit, I decided this feature should be on its own branch. 

How do I move the existing uncommitted changes to a new branch and reset my current one?

I want to reset my current branch while preserving existing work on the new feature.
"
16476924	"How to iterate over rows in a DataFrame in Pandas

I have a pandas dataframe, df:
   c1   c2
0  10  100
1  11  110
2  12  120

How do I iterate over the rows of this dataframe? For every row, I want to be able to access its elements (values in cells) by the name of the columns. For example:
for row in df.rows:
    print(row['c1'], row['c2'])


I found a similar question which suggests using either of these:
for date, row in df.T.iteritems():


for row in df.iterrows():

But I do not understand what the row object is and how I can work with it.
"
1066589	"Iterate through a HashMap

What's the best way to iterate over the items in a HashMap?
"
6245570	"How do I get the current branch name in Git?

How do I get the name of the current branch in Git?
"
278192	"View the change history of a file using Git versioning

How do I view the history of an individual file with complete details of what has changed?
git log -- [filename] shows me the commit history of a file, but how do I see the file content that changed?
"
415511	"How do I get the current time?

How do I get the current time?
"
6470651	"How can I create a memory leak in Java?

I just had an interview where I was asked to create a memory leak with Java.
Needless to say, I felt pretty dumb, having no idea how to start creating one.
What would an example be?
"
1143796	"Remove a file from a Git repository without deleting it from the local filesystem

I want to remove a file from my repository.
git rm file_to_remove.txt

will remove the file from the repository, but it will also remove the file from the local file system. How do I remove this file from the repo without deleting my local copy of the file?
"
6470428	"Catch multiple exceptions in one line (except block)

I know that I can do:

try:
    # do something that may fail
except:
    # do this if ANYTHING goes wrong


I can also do this:

try:
    # do something that may fail
except IDontLikeYouException:
    # say please
except YouAreTooShortException:
    # stand on a ladder


But if I want to do the same thing inside two different exceptions, the best I can think of right now is to do this:

try:
    # do something that may fail
except IDontLikeYouException:
    # say please
except YouAreBeingMeanException:
    # say please


Is there any way that I can do something like this (since the action to take in both exceptions is to say please):

try:
    # do something that may fail
except IDontLikeYouException, YouAreBeingMeanException:
    # say please


Now this really won't work, as it matches the syntax for:

try:
    # do something that may fail
except Exception, e:
    # say please


So, my effort to catch the two distinct exceptions doesn't exactly come through.

Is there a way to do this?
"
339923	"Set cellpadding and cellspacing in CSS?

In an HTML table, the cellpadding and cellspacing can be set like this:

<table cellspacing=""1"" cellpadding=""1"">


How can the same be accomplished using CSS?
"
728360	"How do I correctly clone a JavaScript object?

I have an object x. I'd like to copy it as object y, such that changes to y do not modify x. I realized that copying objects derived from built-in JavaScript objects will result in extra, unwanted properties. This isn't a problem, since I'm copying one of my own literal-constructed objects.

How do I correctly clone a JavaScript object?
"
3040833	"How do I stash only one file out of multiple files that have changed?

How do I stash only one of the multiple changed files on my branch?
"
1519006	"How do I create a remote Git branch?

I created a local branch. How do I push it to the remote server?
UPDATE: I have written a simpler answer for Git 2.0 here.
"
